Year,Month,Day,Hour,Minute,Second,T,Height,Date
2021,3,22,17,0,0,1,5658.325,2021-03-22 17:00:00
2021,3,22,16,45,0,1,5658.291,2021-03-22 16:45:00
2021,3,22,16,30,0,1,5658.255,2021-03-22 16:30:00
2021,3,22,16,15,0,1,5658.22,2021-03-22 16:15:00
2021,3,22,16,0,0,1,5658.184,2021-03-22 16:00:00
2021,3,22,15,45,0,1,5658.149,2021-03-22 15:45:00
2021,3,22,15,30,0,1,5658.114,2021-03-22 15:30:00
2021,3,22,15,15,0,1,5658.083,2021-03-22 15:15:00
2021,3,22,15,0,0,1,5658.054,2021-03-22 15:00:00
2021,3,22,14,45,0,1,5658.029,2021-03-22 14:45:00
2021,3,22,14,30,0,1,5658.009,2021-03-22 14:30:00
2021,3,22,14,15,0,1,5657.993,2021-03-22 14:15:00
2021,3,22,14,0,0,1,5657.981,2021-03-22 14:00:00
2021,3,22,13,45,0,1,5657.975,2021-03-22 13:45:00
2021,3,22,13,30,0,1,5657.975,2021-03-22 13:30:00
2021,3,22,13,15,0,1,5657.98,2021-03-22 13:15:00
2021,3,22,13,0,0,1,5657.992,2021-03-22 13:00:00
2021,3,22,12,45,0,1,5658.01,2021-03-22 12:45:00
2021,3,22,12,30,0,1,5658.037,2021-03-22 12:30:00
2021,3,22,12,15,0,1,5658.069,2021-03-22 12:15:00
2021,3,22,12,0,0,1,5658.106,2021-03-22 12:00:00
2021,3,22,11,45,0,1,5658.15,2021-03-22 11:45:00
2021,3,22,11,30,0,1,5658.199,2021-03-22 11:30:00
2021,3,22,11,15,0,1,5658.253,2021-03-22 11:15:00
2021,3,22,11,0,0,1,5658.31,2021-03-22 11:00:00
2021,3,22,10,45,0,1,5658.372,2021-03-22 10:45:00
2021,3,22,10,30,0,1,5658.436,2021-03-22 10:30:00
2021,3,22,10,15,0,1,5658.501,2021-03-22 10:15:00
2021,3,22,10,0,0,1,5658.57,2021-03-22 10:00:00
2021,3,22,9,45,0,1,5658.638,2021-03-22 09:45:00
2021,3,22,9,30,0,1,5658.705,2021-03-22 09:30:00
2021,3,22,9,15,0,1,5658.769,2021-03-22 09:15:00
2021,3,22,9,0,0,1,5658.833,2021-03-22 09:00:00
2021,3,22,8,45,0,1,5658.895,2021-03-22 08:45:00
2021,3,22,8,30,0,1,5658.953,2021-03-22 08:30:00
2021,3,22,8,15,0,1,5659.006,2021-03-22 08:15:00
2021,3,22,8,0,0,1,5659.051,2021-03-22 08:00:00
2021,3,22,7,45,0,1,5659.093,2021-03-22 07:45:00
2021,3,22,7,30,0,1,5659.129,2021-03-22 07:30:00
2021,3,22,7,15,0,1,5659.156,2021-03-22 07:15:00
2021,3,22,7,0,0,1,5659.177,2021-03-22 07:00:00
2021,3,22,6,45,0,1,5659.188,2021-03-22 06:45:00
2021,3,22,6,30,0,1,5659.191,2021-03-22 06:30:00
2021,3,22,6,15,0,1,5659.185,2021-03-22 06:15:00
2021,3,22,6,0,0,1,5659.172,2021-03-22 06:00:00
2021,3,22,5,45,0,1,5659.149,2021-03-22 05:45:00
2021,3,22,5,30,0,1,5659.119,2021-03-22 05:30:00
2021,3,22,5,15,0,1,5659.081,2021-03-22 05:15:00
2021,3,22,5,0,0,1,5659.035,2021-03-22 05:00:00
2021,3,22,4,45,0,1,5658.986,2021-03-22 04:45:00
2021,3,22,4,30,0,1,5658.931,2021-03-22 04:30:00
2021,3,22,4,15,0,1,5658.87,2021-03-22 04:15:00
2021,3,22,4,0,0,1,5658.806,2021-03-22 04:00:00
2021,3,22,3,45,0,1,5658.74,2021-03-22 03:45:00
2021,3,22,3,30,0,1,5658.672,2021-03-22 03:30:00
2021,3,22,3,15,0,1,5658.604,2021-03-22 03:15:00
2021,3,22,3,0,0,1,5658.533,2021-03-22 03:00:00
2021,3,22,2,45,0,1,5658.467,2021-03-22 02:45:00
2021,3,22,2,30,0,1,5658.403,2021-03-22 02:30:00
2021,3,22,2,15,0,1,5658.341,2021-03-22 02:15:00
2021,3,22,2,0,0,1,5658.281,2021-03-22 02:00:00
2021,3,22,1,45,0,1,5658.227,2021-03-22 01:45:00
2021,3,22,1,30,0,1,5658.178,2021-03-22 01:30:00
2021,3,22,1,15,0,1,5658.136,2021-03-22 01:15:00
2021,3,22,1,0,0,1,5658.099,2021-03-22 01:00:00
2021,3,22,0,45,0,1,5658.07,2021-03-22 00:45:00
2021,3,22,0,30,0,1,5658.048,2021-03-22 00:30:00
2021,3,22,0,15,0,1,5658.035,2021-03-22 00:15:00
2021,3,22,0,0,0,1,5658.029,2021-03-22 00:00:00
2021,3,21,23,45,0,1,5658.03,2021-03-21 23:45:00
2021,3,21,23,30,0,1,5658.042,2021-03-21 23:30:00
2021,3,21,23,15,0,1,5658.058,2021-03-21 23:15:00
2021,3,21,23,0,0,1,5658.08,2021-03-21 23:00:00
2021,3,21,22,45,0,1,5658.11,2021-03-21 22:45:00
2021,3,21,22,30,0,1,5658.145,2021-03-21 22:30:00
2021,3,21,22,15,0,1,5658.186,2021-03-21 22:15:00
2021,3,21,22,0,0,1,5658.231,2021-03-21 22:00:00
2021,3,21,21,45,0,1,5658.277,2021-03-21 21:45:00
2021,3,21,21,30,0,1,5658.326,2021-03-21 21:30:00
2021,3,21,21,15,0,1,5658.376,2021-03-21 21:15:00
2021,3,21,21,0,0,1,5658.426,2021-03-21 21:00:00
2021,3,21,20,45,0,1,5658.474,2021-03-21 20:45:00
2021,3,21,20,30,0,1,5658.522,2021-03-21 20:30:00
2021,3,21,20,15,0,1,5658.566,2021-03-21 20:15:00
2021,3,21,20,0,0,1,5658.606,2021-03-21 20:00:00
2021,3,21,19,45,0,1,5658.643,2021-03-21 19:45:00
2021,3,21,19,30,0,1,5658.674,2021-03-21 19:30:00
2021,3,21,19,15,0,1,5658.7,2021-03-21 19:15:00
2021,3,21,19,0,0,1,5658.717,2021-03-21 19:00:00
2021,3,21,18,45,0,1,5658.728,2021-03-21 18:45:00
2021,3,21,18,30,0,1,5658.734,2021-03-21 18:30:00
2021,3,21,18,15,0,1,5658.73,2021-03-21 18:15:00
2021,3,21,18,0,0,1,5658.716,2021-03-21 18:00:00
2021,3,21,17,45,0,1,5658.696,2021-03-21 17:45:00
2021,3,21,17,30,0,1,5658.669,2021-03-21 17:30:00
2021,3,21,17,15,0,1,5658.633,2021-03-21 17:15:00
2021,3,21,17,0,0,1,5658.591,2021-03-21 17:00:00
2021,3,21,16,45,0,1,5658.544,2021-03-21 16:45:00
2021,3,21,16,30,0,1,5658.491,2021-03-21 16:30:00
2021,3,21,16,15,0,1,5658.432,2021-03-21 16:15:00
2021,3,21,16,0,0,1,5658.37,2021-03-21 16:00:00
2021,3,21,15,45,0,1,5658.307,2021-03-21 15:45:00
2021,3,21,15,30,0,1,5658.24,2021-03-21 15:30:00
2021,3,21,15,15,0,1,5658.176,2021-03-21 15:15:00
2021,3,21,15,0,0,1,5658.111,2021-03-21 15:00:00
2021,3,21,14,45,0,1,5658.05,2021-03-21 14:45:00
2021,3,21,14,30,0,1,5657.991,2021-03-21 14:30:00
2021,3,21,14,15,0,1,5657.936,2021-03-21 14:15:00
2021,3,21,14,0,0,1,5657.887,2021-03-21 14:00:00
2021,3,21,13,45,0,1,5657.843,2021-03-21 13:45:00
2021,3,21,13,30,0,1,5657.809,2021-03-21 13:30:00
2021,3,21,13,15,0,1,5657.783,2021-03-21 13:15:00
2021,3,21,13,0,0,1,5657.762,2021-03-21 13:00:00
2021,3,21,12,45,0,1,5657.752,2021-03-21 12:45:00
2021,3,21,12,30,0,1,5657.751,2021-03-21 12:30:00
2021,3,21,12,15,0,1,5657.763,2021-03-21 12:15:00
2021,3,21,12,0,0,1,5657.784,2021-03-21 12:00:00
2021,3,21,11,45,0,1,5657.817,2021-03-21 11:45:00
2021,3,21,11,30,0,1,5657.858,2021-03-21 11:30:00
2021,3,21,11,15,0,1,5657.912,2021-03-21 11:15:00
2021,3,21,11,0,0,1,5657.971,2021-03-21 11:00:00
2021,3,21,10,45,0,1,5658.041,2021-03-21 10:45:00
2021,3,21,10,30,0,1,5658.117,2021-03-21 10:30:00
2021,3,21,10,15,0,1,5658.199,2021-03-21 10:15:00
2021,3,21,10,0,0,1,5658.287,2021-03-21 10:00:00
2021,3,21,9,45,0,1,5658.379,2021-03-21 09:45:00
2021,3,21,9,30,0,1,5658.473,2021-03-21 09:30:00
2021,3,21,9,15,0,1,5658.57,2021-03-21 09:15:00
2021,3,21,9,0,0,1,5658.666,2021-03-21 09:00:00
2021,3,21,8,45,0,1,5658.762,2021-03-21 08:45:00
2021,3,21,8,30,0,1,5658.855,2021-03-21 08:30:00
2021,3,21,8,15,0,1,5658.942,2021-03-21 08:15:00
2021,3,21,8,0,0,1,5659.024,2021-03-21 08:00:00
2021,3,21,7,45,0,1,5659.103,2021-03-21 07:45:00
2021,3,21,7,30,0,1,5659.17,2021-03-21 07:30:00
2021,3,21,7,15,0,1,5659.228,2021-03-21 07:15:00
2021,3,21,7,0,0,1,5659.277,2021-03-21 07:00:00
2021,3,21,6,45,0,1,5659.319,2021-03-21 06:45:00
2021,3,21,6,30,0,1,5659.347,2021-03-21 06:30:00
2021,3,21,6,15,0,1,5659.364,2021-03-21 06:15:00
2021,3,21,6,0,0,1,5659.368,2021-03-21 06:00:00
2021,3,21,5,45,0,1,5659.364,2021-03-21 05:45:00
2021,3,21,5,30,0,1,5659.346,2021-03-21 05:30:00
2021,3,21,5,15,0,1,5659.316,2021-03-21 05:15:00
2021,3,21,5,0,0,1,5659.273,2021-03-21 05:00:00
2021,3,21,4,45,0,1,5659.219,2021-03-21 04:45:00
2021,3,21,4,30,0,1,5659.158,2021-03-21 04:30:00
2021,3,21,4,15,0,1,5659.087,2021-03-21 04:15:00
2021,3,21,4,0,0,1,5659.01,2021-03-21 04:00:00
2021,3,21,3,45,0,1,5658.925,2021-03-21 03:45:00
2021,3,21,3,30,0,1,5658.834,2021-03-21 03:30:00
2021,3,21,3,15,0,1,5658.743,2021-03-21 03:15:00
2021,3,21,3,0,0,1,5658.649,2021-03-21 03:00:00
2021,3,21,2,45,0,1,5658.553,2021-03-21 02:45:00
2021,3,21,2,30,0,1,5658.461,2021-03-21 02:30:00
2021,3,21,2,15,0,1,5658.368,2021-03-21 02:15:00
2021,3,21,2,0,0,1,5658.278,2021-03-21 02:00:00
2021,3,21,1,45,0,1,5658.193,2021-03-21 01:45:00
2021,3,21,1,30,0,1,5658.114,2021-03-21 01:30:00
2021,3,21,1,15,0,1,5658.045,2021-03-21 01:15:00
2021,3,21,1,0,0,1,5657.98,2021-03-21 01:00:00
2021,3,21,0,45,0,1,5657.926,2021-03-21 00:45:00
2021,3,21,0,30,0,1,5657.88,2021-03-21 00:30:00
2021,3,21,0,15,0,1,5657.846,2021-03-21 00:15:00
2021,3,21,0,0,0,1,5657.823,2021-03-21 00:00:00
